NAME,POS,Team_Abb,team_wins
Kent Bazemore,SG,ATL,24
DeAndre' Bembry,SF,ATL,24
Antonius Cleveland,SG,ATL,24
John Collins,PF,ATL,24
Dewayne Dedmon,C,ATL,24
Malcolm Delaney,PG,ATL,24
Tyler Dorsey,SG,ATL,24
Damion Lee,SG,ATL,24
Josh Magette,PG,ATL,24
Jaylen Morris,G,ATL,24
Mike Muscala,PF,ATL,24
Miles Plumlee,C,ATL,24
Taurean Prince,SF,ATL,24
Dennis Schroder,PG,ATL,24
Isaiah Taylor,PG,ATL,24
Andrew White III,SF,ATL,24
Kadeem Allen,SG,BOS,55
Aron Baynes,C,BOS,55
Jabari Bird,SG,BOS,55
Jaylen Brown,SG,BOS,55
Gordon Hayward,SF,BOS,55
Al Horford,PF,BOS,55
Kyrie Irving,PG,BOS,55
Shane Larkin,PG,BOS,55
Greg Monroe,C,BOS,55
Marcus Morris,PF,BOS,55
Abdel Nader,SF,BOS,55
Semi Ojeleye,PF,BOS,55
Terry Rozier,PG,BOS,55
Marcus Smart,PG,BOS,55
Jayson Tatum,SF,BOS,55
Daniel Theis,PF,BOS,55
Guerschon Yabusele,PF,BOS,55
Quincy Acy,SF,BKN,28
Jarrett Allen,C,BKN,28
DeMarre Carroll,SF,BKN,28
Allen Crabbe,SG,BKN,28
Dante Cunningham,SF,BKN,28
Spencer Dinwiddie,PG,BKN,28
Milton Doyle,SG,BKN,28
Joe Harris,SF,BKN,28
Rondae Hollis-Jefferson,SF,BKN,28
Caris LeVert,SG,BKN,28
Jeremy Lin,PG,BKN,28
Timofey Mozgov,C,BKN,28
Jahlil Okafor,C,BKN,28
D'Angelo Russell,PG,BKN,28
Nik Stauskas,SG,BKN,28
James Webb III,SF,BKN,28
Isaiah Whitehead,SG,BKN,28
Dwayne Bacon,SF,CHA,36
Nicolas Batum,SG,CHA,36
Michael Carter-Williams,PG,CHA,36
Treveon Graham,SG,CHA,36
Willy Hernangomez,C,CHA,36
Dwight Howard,C,CHA,36
Frank Kaminsky,PF,CHA,36
Michael Kidd-Gilchrist,SF,CHA,36
Jeremy Lamb,SG,CHA,36
Mangok Mathiang,PF,CHA,36
Malik Monk,SG,CHA,36
Marcus Paige,PG,CHA,36
Julyan Stone,PG,CHA,36
Kemba Walker,PG,CHA,36
Marvin Williams,PF,CHA,36
Cody Zeller,C,CHA,36
Ryan Arcidiacono,PG,CHI,27
Omer Asik,C,CHI,27
Antonio Blakeney,SG,CHI,27
Kris Dunn,PG,CHI,27
Jarell Eddie,SG,CHI,27
Cristiano Felicio,C,CHI,27
Jerian Grant,PG,CHI,27
Justin Holiday,SG,CHI,27
Sean Kilpatrick,SG,CHI,27
Zach LaVine,PG,CHI,27
Robin Lopez,C,CHI,27
Lauri Markkanen,PF,CHI,27
David Nwaba,SF,CHI,27
Cameron Payne,PG,CHI,27
Bobby Portis,PF,CHI,27
Denzel Valentine,SF,CHI,27
Noah Vonleh,PF,CHI,27
Paul Zipser,SF,CHI,27
Jose Calderon,PG,CLE,50
Jordan Clarkson,PG,CLE,50
Jeff Green,SF,CLE,50
George Hill,PG,CLE,50
Rodney Hood,SG,CLE,50
LeBron James,SF,CLE,50
Kyle Korver,SG,CLE,50
Kevin Love,C,CLE,50
Larry Nance Jr.,PF,CLE,50
Cedi Osman,SF,CLE,50
Kendrick Perkins,C,CLE,50
JR Smith,SG,CLE,50
Tristan Thompson,C,CLE,50
Okaro White,PF,CLE,50
Ante Zizic,PF,CLE,50
J.J. Barea,PG,DAL,24
Harrison Barnes,SF,DAL,24
Kyle Collinsworth,PG,DAL,24
Seth Curry,SG,DAL,24
Yogi Ferrell,PG,DAL,24
Dorian Finney-Smith,SF,DAL,24
Aaron Harrison,SG,DAL,24
Scotty Hopson,SG,DAL,24
Jalen Jones,SF,DAL,24
Maximilian Kleber,PF,DAL,24
Wesley Matthews,SG,DAL,24
Doug McDermott,SF,DAL,24
Salah Mejri,C,DAL,24
Johnathan Motley,PF,DAL,24
Nerlens Noel,C,DAL,24
Dirk Nowitzki,C,DAL,24
Dwight Powell,C,DAL,24
Dennis Smith Jr.,PG,DAL,24
Darrell Arthur,PF,DEN,46
Will Barton,SF,DEN,46
Malik Beasley,SG,DEN,46
Wilson Chandler,SF,DEN,46
Torrey Craig,SG,DEN,46
Kenneth Faried,PF,DEN,46
Devin Harris,PG,DEN,46
Gary Harris,SG,DEN,46
Juan Hernangomez,PF,DEN,46
Richard Jefferson,SF,DEN,46
Nikola Jokic,C,DEN,46
Tyler Lydon,PF,DEN,46
Trey Lyles,PF,DEN,46
Paul Millsap,PF,DEN,46
Monte Morris,PG,DEN,46
Jamal Murray,PG,DEN,46
Mason Plumlee,C,DEN,46
Reggie Bullock,SG,DET,39
Dwight Buycks,PG,DET,39
Andre Drummond,C,DET,39
Henry Ellenson,PF,DET,39
James Ennis III,SF,DET,39
Kay Felder,PG,DET,39
Langston Galloway,SG,DET,39
Blake Griffin,PF,DET,39
Reggie Hearn,SG,DET,39
Reggie Jackson,PG,DET,39
Stanley Johnson,SF,DET,39
Luke Kennard,SG,DET,39
Jon Leuer,PF,DET,39
Eric Moreland,PF,DET,39
Jameer Nelson,PG,DET,39
Ish Smith,PG,DET,39
Anthony Tolliver,PF,DET,39
Jordan Bell,C,GSW,58
Chris Boucher,PF,GSW,58
Quinn Cook,PG,GSW,58
Stephen Curry,PG,GSW,58
Kevin Durant,SF,GSW,58
Draymond Green,PF,GSW,58
Andre Iguodala,SF,GSW,58
Damian Jones,C,GSW,58
Shaun Livingston,PG,GSW,58
Kevon Looney,SF,GSW,58
Patrick McCaw,SG,GSW,58
JaVale McGee,C,GSW,58
Zaza Pachulia,C,GSW,58
Klay Thompson,SG,GSW,58
David West,PF,GSW,58
Nick Young,SG,GSW,58
Ryan Anderson,PF,HOU,65
Trevor Ariza,SF,HOU,65
Tarik Black,PF,HOU,65
Markel Brown,SG,HOU,65
Clint Capela,C,HOU,65
Eric Gordon,SG,HOU,65
Gerald Green,SG,HOU,65
James Harden,PG,HOU,65
Nene Hilario,C,HOU,65
R.J. Hunter,SG,HOU,65
Aaron Jackson,G,HOU,65
Joe Johnson,SG,HOU,65
Luc Mbah a Moute,PF,HOU,65
Chinanu Onuaku,C,HOU,65
Chris Paul,PG,HOU,65
Zhou Qi,PF,HOU,65
PJ Tucker,SF,HOU,65
Ike Anigbogu,C,IND,48
Bojan Bogdanovic,SF,IND,48
Trevor Booker,PF,IND,48
Darren Collison,PG,IND,48
Al Jefferson,C,IND,48
Cory Joseph,PG,IND,48
T.J. Leaf,PF,IND,48
Ben Moore,PF,IND,48
Victor Oladipo,SG,IND,48
Alex Poythress,SF,IND,48
Glenn Robinson III,SG,IND,48
Domantas Sabonis,C,IND,48
Lance Stephenson,SG,IND,48
Edmond Sumner,PG,IND,48
Myles Turner,C,IND,48
Joe Young,PG,IND,48
Thaddeus Young,PF,IND,48
Patrick Beverley,PG,LAC,42
Avery Bradley,SG,LAC,42
Sam Dekker,SF,LAC,42
Jawun Evans,PG,LAC,42
Danilo Gallinari,SF,LAC,42
Montrezl Harrell,PF,LAC,42
Tobias Harris,SF,LAC,42
Wesley Johnson,SF,LAC,42
DeAndre Jordan,C,LAC,42
Boban Marjanovic,C,LAC,42
Austin Rivers,PG,LAC,42
Milos Teodosic,PG,LAC,42
Sindarius Thornwell,SG,LAC,42
Tyrone Wallace,SG,LAC,42
C.J. Williams,SF,LAC,42
Lou Williams,SG,LAC,42
Lonzo Ball,PG,LAL,35
Thomas Bryant,C,LAL,35
Kentavious Caldwell-Pope,SG,LAL,35
Alex Caruso,SG,LAL,35
Luol Deng,SF,LAL,35
Tyler Ennis,PG,LAL,35
Channing Frye,PF,LAL,35
Josh Hart,SG,LAL,35
Andre Ingram,G,LAL,35
Brandon Ingram,SF,LAL,35
Kyle Kuzma,PF,LAL,35
Brook Lopez,C,LAL,35
Gary Payton II,PG,LAL,35
Julius Randle,PF,LAL,35
Isaiah Thomas,PG,LAL,35
Travis Wear,SF,LAL,35
Ivica Zubac,C,LAL,35
Dillon Brooks,SF,MEM,22
MarShon Brooks,SG,MEM,22
Mario Chalmers,PG,MEM,22
Mike Conley,PG,MEM,22
Deyonta Davis,C,MEM,22
Tyreke Evans,SG,MEM,22
Marc Gasol,C,MEM,22
JaMychal Green,PF,MEM,22
Andrew Harrison,SG,MEM,22
Myke Henry,F,MEM,22
Omari Johnson,PF,MEM,22
Jarell Martin,PF,MEM,22
Ben McLemore,SG,MEM,22
Chandler Parsons,SF,MEM,22
Ivan Rabb,PF,MEM,22
Wayne Selden,SG,MEM,22
Kobi Simmons,PG,MEM,22
Briante Weber,PG,MEM,22
Bam Adebayo,C,MIA,44
Luke Babbitt,SF,MIA,44
Goran Dragic,PG,MIA,44
Wayne Ellington,SG,MIA,44
Udonis Haslem,PF,MIA,44
James Johnson,PF,MIA,44
Tyler Johnson,SG,MIA,44
Derrick Jones Jr.,SG,MIA,44
Rodney McGruder,SG,MIA,44
Jordan Mickey,C,MIA,44
Kelly Olynyk,PF,MIA,44
Josh Richardson,SF,MIA,44
Dwyane Wade,SG,MIA,44
Dion Waiters,SG,MIA,44
Derrick Walton Jr.,PG,MIA,44
Hassan Whiteside,C,MIA,44
Justise Winslow,SF,MIA,44
Giannis Antetokounmpo,PF,MIL,44
Eric Bledsoe,PG,MIL,44
Malcolm Brogdon,PG,MIL,44
Sterling Brown,SG,MIL,44
Matthew Dellavedova,PG,MIL,44
John Henson,C,MIL,44
Brandon Jennings,PG,MIL,44
Thon Maker,C,MIL,44
Khris Middleton,SF,MIL,44
Shabazz Muhammad,SG,MIL,44
Xavier Munford,PG,MIL,44
Jabari Parker,PF,MIL,44
Marshall Plumlee,C,MIL,44
Tony Snell,SG,MIL,44
Jason Terry,SG,MIL,44
D.J. Wilson,PF,MIL,44
Tyler Zeller,C,MIL,44
Cole Aldrich,C,MIN,47
Nemanja Bjelica,PF,MIN,47
Aaron Brooks,PG,MIN,47
Anthony Brown,SF,MIN,47
Jimmy Butler,SG,MIN,47
Jamal Crawford,SG,MIN,47
Gorgui Dieng,C,MIN,47
Marcus Georges-Hunt,SG,MIN,47
Taj Gibson,PF,MIN,47
Amile Jefferson,PF,MIN,47
Tyus Jones,PG,MIN,47
Justin Patton,C,MIN,47
Derrick Rose,PG,MIN,47
Jeff Teague,PG,MIN,47
Karl-Anthony Towns,C,MIN,47
Andrew Wiggins,SF,MIN,47
Alexis Ajinca,C,NOP,48
Ian Clark,SG,NOP,48
Charles Cooke,SG,NOP,48
DeMarcus Cousins,C,NOP,48
Jordan Crawford,SG,NOP,48
Anthony Davis,PF,NOP,48
Cheick Diallo,PF,NOP,48
Larry Drew II,PG,NOP,48
Solomon Hill,SF,NOP,48
Jrue Holiday,PG,NOP,48
Frank Jackson,PG,NOP,48
DeAndre Liggins,SG,NOP,48
Darius Miller,SF,NOP,48
Nikola Mirotic,PF,NOP,48
E'Twaun Moore,SF,NOP,48
Emeka Okafor,C,NOP,48
Rajon Rondo,PG,NOP,48
Ron Baker,SG,NYK,29
Michael Beasley,SF,NYK,29
Trey Burke,PG,NYK,29
Damyean Dotson,SG,NYK,29
Tim Hardaway Jr.,SF,NYK,29
Isaiah Hicks,PF,NYK,29
Jarrett Jack,PG,NYK,29
Enes Kanter,C,NYK,29
Luke Kornet,PF,NYK,29
Courtney Lee,SG,NYK,29
Emmanuel Mudiay,PG,NYK,29
Joakim Noah,C,NYK,29
Frank Ntilikina,PG,NYK,29
Kyle O'Quinn,C,NYK,29
Kristaps Porzingis,PF,NYK,29
Lance Thomas,SF,NYK,29
Troy Williams,SF,NYK,29
Alex Abrines,SG,OKC,48
Steven Adams,C,OKC,48
Carmelo Anthony,PF,OKC,48
Corey Brewer,SF,OKC,48
PJ Dozier,PG,OKC,48
Raymond Felton,PG,OKC,48
Terrance Ferguson,SG,OKC,48
Paul George,SF,OKC,48
Jerami Grant,SF,OKC,48
Daniel Hamilton,SG,OKC,48
Josh Huestis,SG,OKC,48
Dakari Johnson,C,OKC,48
Patrick Patterson,PF,OKC,48
Andre Roberson,SG,OKC,48
Kyle Singler,SF,OKC,48
Russell Westbrook,PG,OKC,48
Arron Afflalo,SG,ORL,25
Jamel Artis,SG,ORL,25
D.J. Augustin,PG,ORL,25
Khem Birch,C,ORL,25
Bismack Biyombo,C,ORL,25
Evan Fournier,SG,ORL,25
Aaron Gordon,PF,ORL,25
Mario Hezonja,SF,ORL,25
Jonathan Isaac,PF,ORL,25
Wesley Iwundu,SF,ORL,25
Shelvin Mack,PG,ORL,25
Rodney Purvis,SG,ORL,25
Terrence Ross,SG,ORL,25
Jonathon Simmons,SF,ORL,25
Marreese Speights,PF,ORL,25
Nikola Vucevic,C,ORL,25
Justin Anderson,SG,PHI,52
Jerryd Bayless,PG,PHI,52
Marco Belinelli,SG,PHI,52
Robert Covington,SF,PHI,52
Joel Embiid,C,PHI,52
Markelle Fultz,PG,PHI,52
Richaun Holmes,PF,PHI,52
Ersan Ilyasova,PF,PHI,52
Demetrius Jackson,PG,PHI,52
Amir Johnson,C,PHI,52
Furkan Korkmaz,SG,PHI,52
Timothe Luwawu-Cabarrot,SG,PHI,52
T.J. McConnell,PG,PHI,52
JJ Redick,SG,PHI,52
Dario Saric,PF,PHI,52
Ben Simmons,PG,PHI,52
Dragan Bender,PF,PHX,21
Devin Booker,SG,PHX,21
Tyson Chandler,C,PHX,21
Marquese Chriss,PF,PHX,21
Troy Daniels,SG,PHX,21
Jared Dudley,SF,PHX,21
Shaquille Harrison,PG,PHX,21
Danuel House Jr.,SF,PHX,21
Josh Jackson,SG,PHX,21
Brandon Knight,PG,PHX,21
Alex Len,C,PHX,21
Elfrid Payton,PG,PHX,21
Alec Peters,PF,PHX,21
Davon Reed,SG,PHX,21
Tyler Ulis,PG,PHX,21
TJ Warren,SF,PHX,21
Alan Williams,PF,PHX,21
Al-Farouq Aminu,PF,POR,49
Wade Baldwin IV,PG,POR,49
Zach Collins,C,POR,49
Pat Connaughton,SG,POR,49
Ed Davis,PF,POR,49
Maurice Harkless,SF,POR,49
Jake Layman,SF,POR,49
Meyers Leonard,C,POR,49
Damian Lillard,PG,POR,49
CJ McCollum,SG,POR,49
Shabazz Napier,PG,POR,49
Jusuf Nurkic,C,POR,49
Georgios Papagiannis,C,POR,49
Caleb Swanigan,PF,POR,49
Evan Turner,SF,POR,49
CJ Wilcox,SG,POR,49
Bogdan Bogdanovic,SG,SAC,27
Bruno Caboclo,SF,SAC,27
Vince Carter,SG,SAC,27
Willie Cauley-Stein,C,SAC,27
Jack Cooley,PF,SAC,27
De'Aaron Fox,PG,SAC,27
Harry Giles,PF,SAC,27
Nigel Hayes,SF,SAC,27
Buddy Hield,SG,SAC,27
Justin Jackson,SF,SAC,27
Kosta Koufos,C,SAC,27
Skal Labissiere,PF,SAC,27
Frank Mason III,PG,SAC,27
Zach Randolph,PF,SAC,27
JaKarr Sampson,SF,SAC,27
Iman Shumpert,SG,SAC,27
Garrett Temple,SF,SAC,27
LaMarcus Aldridge,PF,SAS,47
Kyle Anderson,SF,SAS,47
Davis Bertans,C,SAS,47
Matt Costello,SF,SAS,47
Bryn Forbes,SG,SAS,47
Pau Gasol,C,SAS,47
Rudy Gay,SF,SAS,47
Manu Ginobili,SG,SAS,47
Danny Green,SG,SAS,47
Darrun Hilliard,SG,SAS,47
Joffrey Lauvergne,C,SAS,47
Kawhi Leonard,SF,SAS,47
Patty Mills,PG,SAS,47
Dejounte Murray,PG,SAS,47
Tony Parker,PG,SAS,47
Brandon Paul,SG,SAS,47
Derrick White,PG,SAS,47
OG Anunoby,SF,TOR,59
Lorenzo Brown,PG,TOR,59
DeMar DeRozan,SG,TOR,59
Serge Ibaka,PF,TOR,59
Kyle Lowry,PG,TOR,59
Alfonzo McKinnie,SF,TOR,59
CJ Miles,SF,TOR,59
Malcolm Miller,SF,TOR,59
Lucas Nogueira,C,TOR,59
Jakob Poeltl,C,TOR,59
Norman Powell,SF,TOR,59
Malachi Richardson,SG,TOR,59
Pascal Siakam,PF,TOR,59
Jonas Valanciunas,C,TOR,59
Fred VanVleet,PG,TOR,59
Delon Wright,PG,TOR,59
Tony Bradley,C,UTA,48
Alec Burks,SG,UTA,48
Jae Crowder,PF,UTA,48
Dante Exum,PG,UTA,48
Derrick Favors,PF,UTA,48
Rudy Gobert,C,UTA,48
Joe Ingles,SF,UTA,48
Jonas Jerebko,PF,UTA,48
Erik McCree,SF,UTA,48
Donovan Mitchell,SG,UTA,48
Raul Neto,PG,UTA,48
Georges Niang,F,UTA,48
Royce O'Neale,SF,UTA,48
Ricky Rubio,PG,UTA,48
Thabo Sefolosha,SF,UTA,48
David Stockton,PG,UTA,48
Ekpe Udoh,C,UTA,48
Bradley Beal,SG,WAS,43
Tim Frazier,PG,WAS,43
Marcin Gortat,C,WAS,43
Ty Lawson,PG,WAS,43
Ian Mahinmi,C,WAS,43
Chris McCullough,PF,WAS,43
Jodie Meeks,SG,WAS,43
Markieff Morris,PF,WAS,43
Kelly Oubre Jr.,SF,WAS,43
Otto Porter Jr.,SF,WAS,43
Devin Robinson,SF,WAS,43
Tomas Satoransky,SG,WAS,43
Mike Scott,PF,WAS,43
Ramon Sessions,PG,WAS,43
Jason Smith,PF,WAS,43
John Wall,PG,WAS,43