TEAM,rotation_PL,rotation_HT (cm),rotation_WT (kg),rotation_AG,rotation_EX,rotation_SAL,rotation_CY,Team_Abb,roster_PL,roster_HT (cm),roster_WT (kg),roster_AG,roster_EX,roster_SAL,roster_CY,starter_PL,starter_HT (cm),starter_WT (kg),starter_AG,starter_EX,starter_SAL,starter_CY
Atlanta Hawks,16,198.9,94.1,24.9,1.6,$4.2M,2.7,ATL,16,200.1,94.6,25.1,2,$4.2M,2.8,5,201.6,98.6,26.6,3.8,$10.7M,3.2
Boston Celtics,12,199.3,101.8,25.5,3.6,$6.8M,2.7,BOS,16,198.9,101.6,25.6,3.2,$7.2M,2.9,5,202.2,102.4,25.8,4.4,$12.3M,3.2
Brooklyn Nets,14,200.2,98.1,25.1,3.4,$5.2M,2.2,BKN,15,201.3,100.1,25.4,3.7,$5.9M,2.4,5,199.2,94.4,25.4,3.8,$8.5M,2.6
Charlotte Hornets,12,201.2,98.8,25.8,5.1,$9.5M,2.9,CHA,14,201.6,99,25.9,4.6,$8.4M,2.9,5,201.2,101.4,28.6,9,$16.8M,2.8
Chicago Bulls,17,200.7,98.4,24.8,2.4,$3.8M,2.8,CHI,15,201.9,99.9,25.1,2.7,$4.2M,3,5,203,99.4,25.4,3,$5.7M,3.4
Cleveland Cavaliers,12,201.6,102.8,30.3,8.9,$11.1M,2.3,CLE,15,202.5,102.7,28.9,7.2,$9.2M,2.5,5,198.2,102,32.2,11.4,$18.4M,2.4
Dallas Mavericks,14,200.4,98.4,26.4,4,$5.3M,2.4,DAL,15,200.3,97.4,27,4.1,$5.2M,2.3,5,202,99.8,28.2,6.4,$10.0M,3
Denver Nuggets,11,200.8,100.4,27,5.1,$7.9M,2.4,DEN,15,201.9,100.9,26.8,5.5,$6.8M,2.7,5,199,96.6,24.8,4,$4.6M,2.8
Detroit Pistons,14,198.2,98.5,27.3,4.9,$8.0M,2.6,DET,15,199.1,99.3,26.9,4.7,$7.6M,2.7,5,197.4,100.8,25.6,4.8,$10.3M,2.8
Golden State Warriors,13,200.8,98.8,28.9,7.4,$10.1M,2.2,GSW,15,202.5,101.1,28.5,7.1,$9.0M,2.3,5,202,103.8,29.8,8.6,$19.5M,2.6
Houston Rockets,13,200.5,101.1,30.1,8.5,$8.6M,2.3,HOU,15,202,101.7,29.3,7.6,$7.7M,2.3,5,199.6,99.8,28.8,9,$16.4M,2.6
Indiana Pacers,11,200,102.2,26.8,5.8,$7.7M,2.3,IND,15,200.5,101.9,25.5,4.5,$6.0M,2.6,5,198.6,97.8,26.8,5.4,$11.8M,2.6
Los Angeles Clippers,15,197,95.6,26.5,4.2,$7.3M,2.5,LAC,15,198.7,98.4,26.9,4.3,$7.7M,2.5,5,201.4,100.6,28,5.4,$12.5M,2.2
Los Angeles Lakers,13,200.2,97.3,25.5,3.9,$7.1M,2.5,LAL,14,202.4,100.1,24.9,3.7,$6.7M,2.6,5,203.8,100,23.6,3.4,$11.3M,2.6
Memphis Grizzlies,17,200.4,98.4,25.8,3.3,$5.9M,2.5,MEM,15,201,99.1,26.2,3.7,$6.7M,2.7,5,205.2,105.2,25.6,3,$7.0M,3
Miami Heat,14,199.9,99.6,26.4,4.6,$7.2M,3,MIA,15,200.5,101.1,27.5,5.6,$7.0M,2.9,5,200.2,98.8,27.8,5.4,$12.4M,3.6
Milwaukee Bucks,13,200.2,97.6,26.5,5,$7.5M,2.8,MIL,15,200.6,98.7,26.1,4.6,$6.7M,2.9,5,202.2,98,26,5,$14.5M,3.2
Minnesota Timberwolves,10,200.1,96.4,27.9,6,$9.0M,2.9,MIN,15,200.7,96.8,27.3,5.1,$6.9M,2.7,5,201.8,97.8,26.8,5.4,$13.2M,3.4
New Orleans Pelicans,10,200.1,99.8,28.4,6,$10.8M,2.3,NOP,15,200.5,99.1,27.5,5.1,$7.8M,2.3,5,198,100.2,28,7.4,$15.9M,2.8
New York Knicks,15,201.9,100.6,25.6,4.1,$5.2M,2.4,NYK,15,200.9,98.9,26.3,4.7,$6.5M,2.7,5,203.4,99.2,27.8,6.6,$10.6M,2.6
Oklahoma City Thunder,12,201.2,96.8,27.2,6.1,$10.4M,2.7,OKC,15,202.7,99.7,27.6,6.1,$8.8M,2.6,5,202.8,102.2,27.8,7.6,$21.2M,3.4
Orlando Magic,16,200.9,98.4,25.8,3.9,$6.0M,2.4,ORL,15,200.9,98.4,25.9,4.2,$6.4M,2.5,5,200.2,96.8,26.4,5,$9.7M,2.8
Philadelphia 76ers,14,201,99.5,26.1,4.6,$6.3M,2.9,PHI,15,201.1,98.6,25.7,4.3,$6.0M,3.1,5,205.6,101.4,25.8,3.4,$10.9M,4
Phoenix Suns,14,201.6,97.8,24.4,3.4,$4.3M,2.7,PHX,15,200.7,97.1,24.4,3.5,$4.9M,2.9,5,200.6,94.8,24.4,4.6,$4.6M,3.4
Portland Trail Blazers,10,201,98.1,25.5,4.3,$10.0M,2.8,POR,15,203.3,100.7,24.5,3.4,$7.6M,2.9,5,200.4,100.2,26.4,5.2,$15.5M,3
Sacramento Kings,13,201.8,99.6,27,4.5,$4.9M,2.9,SAC,14,201.8,99.6,26.2,4.6,$5.5M,3.2,5,203.2,98.8,25.6,3.6,$6.5M,3.8
San Antonio Spurs,12,199.7,96.7,29.5,8.1,$9.1M,2.4,SAS,15,199.5,96.7,28.6,6.7,$7.5M,2.6,5,204.8,102,28.8,7.8,$10.2M,2.6
Toronto Raptors,11,199.9,101.5,25.6,4.6,$10.0M,3.5,TOR,15,200.6,100.2,25.4,3.9,$7.7M,3.3,5,202,105.4,26.6,6.4,$18.7M,3.6
Utah Jazz,13,200.6,99.2,26.7,4.5,$7.9M,2.7,UTA,15,199.9,98.3,26.2,3.9,$6.9M,2.7,5,202.2,101.8,25.8,4,$13.0M,3.2
Washington Wizards,13,199.9,97.2,27.5,5.4,$9.0M,2.6,WAS,15,199.7,97.8,27.9,5.9,$8.2M,2.4,5,202.2,99.8,27.4,6.4,$17.5M,3.6